CNTRY_YEAR,Countries,Year,1  Size of Government,1A Government Consumption,1B  Transfers and subsidies,1C  Government investment,1D  Top marginal tax rate,1Di Top marginal income tax rate,1Dii Top marginal income and payroll tax rate,2  Legal System & Property Rights,2A  Judicial independence,2B  Impartial courts,2C  Protection of property rights,2D  Military interference in rule of law and politics,2E Integrity of the legal system,2F Legal enforcement of contracts,2G Regulatory restrictions on the sale of real property,2H Reliability of police,3  Sound Money,3A  Money growth,3B  Standard deviation of inflation,3C  Inflation: Most recent year,3D  Freedom to own foreign currency bank accounts,4  Freedom to trade internationally,4A  Tariffs,4Ai  Revenue from trade taxes (% of trade sector),4Aii  Mean tariff rate,4Aiii  Standard deviation of tariff rates,4B  Regulatory trade barriers,4Bi  Non-tariff trade barriers,4Bii  Compliance costs of importing and exporting,4C  Black market exchange rates,4D  Controls of the movement of capital and people,4Di  Financial Openness,4Dii  Capital controls,4Diii Freedom of foreigners to visit,5  Regulation,5A  Credit market regulations,5Ai  Ownership of banks,5Aii Private sector credit,5Aiii  Interest rate controls/negative real interest rates),5B  Labor market regulations,5Bi  Hiring regulations and minimum wage,5Bii  Hiring and firing regulations,5Biii  Centralized collective bargaining,5Biv  Hours Regulations,5Bv Mandated cost of worker dismissal,5Bvi  Conscription,5C  Business regulations,5Ci  Administrative requirements,5Cii  Regulatory Burden,5Ciii  Startinga  business,5Civ  Impartial Public Administration,5Cv Licensing restrictions,5Cvi Tax compliance,BUPPSRY,TRY,UPPSRY_NTRY,GDP,FDI(Value)
CNTRY_YEAR,Countries,Year,sog,sog_gc,sog_ts,sog_gi,sog_tmtr,sog_tmitr,sog_tmiptr,lspr,lspr_ji,lspr_ic,lspr_ppr,lspr_mi,lspr_ils,lspr_lec,lspr_rr,lspr_rp,sm,sm_mg,sm_sdi,sm_i,sm_f,free,free_t,free_t_r,free_t_m,free_t_sd,free_r,free_r_n,free_r_c,free_b,free_c,free_f,free_f_c,free_f_F,reg,reg_c,reg_c_o,reg_c_p,reg_c_i,reg_l,reg_l_h,reg_l_hf,reg_l_c,reg_l_h,reg_l_m,re_l_cp,reg_b,reg_b_a,reg_b_r,reg_b_s,reg_b_i,reg_b_l,reg_b_t,BUPPSRY,TRY,UPPSRY_NTRY,GDP,FDI(Value)
AUS_2005,Australia,2005,6.76195616,4.719140474,6.795640327,10,4,4,4,8.526360421,8.578037331,8.608590111,8.968253968,10,8.798183333,6.864994653,8.327689874,8.0651341,9.546529066,9.037023219,9.682839602,9.466253444,10,7.434238658,8.426222222,8.966666667,9.14,7.172,8.17682124,7.443181818,8.910460662,10,3.133911171,6.994041204,2.307692308,0.1,8.596132495,10,10,10,10,8.359913012,10,4.602272727,5.928030303,10,9.62917504,10,7.428484472,3.486590038,5.315614618,9.917058898,9.7625,7.288541212,8.800602068,62.907692,84.412949,79.842407,895703.94,'-28222.882388787
AUS_2006,Australia,2006,7.072259161,4.63714049,6.929155313,10,5.5,6,5,8.537520194,8.642526686,8.592710452,8.914368095,10,8.485683333,6.989994653,8.29481875,8.380059584,9.413734059,8.676515648,9.686118055,9.292302532,10,7.455370609,8.550666667,9.18,9.3,7.172,8.133362717,7.356264772,8.910460662,10,3.137453051,6.994041204,2.307692308,0.110625641,8.588930543,10,10,10,10,8.476467809,10,4.860754206,6.368877608,10,9.62917504,10,7.290323821,3.358291803,4.602272727,9.927563364,9.7625,7.290712966,8.800602068,63.472088,84.353523,80.391235,922265.56,26331.09788
AUS_2007,Australia,2007,7.140417532,4.663808558,7.243279101,10,5.5,6,5,8.547874025,8.670773488,8.484484772,8.886351646,10,8.485683333,6.989994653,8.29481875,8.570885556,9.427680859,8.427663895,9.749531844,9.533527697,10,7.499855323,8.643837015,9.151511045,9.3,7.48,8.218131225,7.525801788,8.910460662,10,3.137453051,6.994041204,2.307692308,0.110625641,8.626583923,10,10,10,10,8.596213246,10,5.164694833,6.783409601,10,9.62917504,10,7.283538525,3.317580024,4.602272727,9.927563364,9.7625,7.290712966,8.800602068,63.865177,84.823486,80.511581,949605.44,41475.06693
AUS_2008,Australia,2008,7.097796281,4.544117647,7.14986376,10,5.5,6,5,8.438129006,8.670969981,8.121884868,8.617067183,10,8.485683333,6.989994653,8.29481875,8.324613283,9.304259076,8.223731493,9.863833461,9.129471352,10,7.453124318,8.546666667,9.24,9.3,7.1,8.128377556,7.34629445,8.910460662,10,3.137453051,6.994041204,2.307692308,0.110625641,8.60578235,10,10,10,10,8.47661286,10,4.9540317,6.276470422,10,9.62917504,10,7.34073419,3.660211078,4.602272727,9.927563364,9.7625,7.291255904,8.800602068,61.529007,83.105896,80.865669,971043.06,46687.26514
AUS_2009,Australia,2009,6.95795771,4.488235294,6.506553257,10,5.5,6,5,8.347522193,8.586578364,8.176385942,8.111368354,10,8.485683333,6.989994653,8.261947626,8.168219271,9.497156572,8.433518152,9.919130583,9.635977552,10,7.489774189,8.785111111,9.253333333,9.3,7.802,8.036532594,7.162604527,8.910460662,10,3.137453051,6.994041204,2.307692308,0.110625641,8.483388586,9.668110106,10,9.004330318,10,8.389096024,10,4.643130656,5.691445488,10,10,10,7.392959629,3.992760165,4.602272727,9.92861381,9.7625,7.293427658,8.778183415,66.119377,84.255821,80.237244,981726.19,31668.22649
AUS_2010,Australia,2010,6.954351614,4.358823529,6.803814714,9.814119827,5.5,6,5,8.261950394,8.51436279,8.068776709,7.587854513,10,8.464433333,6.956575964,8.261947626,8.241652218,9.339272585,8.593593191,9.332542287,9.430954864,10,7.497435188,8.830488889,9.246666667,9.44,7.8048,8.278209068,7.645957474,8.910460662,10,2.881042795,6.994041204,1.538461538,0.110625641,8.485677682,9.404682797,10,8.214048392,10,7.735468985,8.9,4.143686192,5.441272808,10,7.927854911,10,8.316881263,3.636619538,9.393939394,9.92861381,9.66,8.50393142,8.778183415,65.07019,84.019539,80.467789,1050050.38,36441.93726
AUS_2011,Australia,2011,7.018897419,4.441176471,6.858310627,10,5.5,6,5,8.221974314,8.413719093,7.971965192,7.424279238,10,8.464433333,6.831575964,8.229076502,8.44074519,9.378311034,8.971107666,9.220136468,9.322,10,7.632299279,8.802666667,9.32,9.44,7.648,8.33266714,7.754873618,8.910460662,10,3.393863308,6.994041204,3.076923077,0.110625641,8.379194635,9.489701599,10,8.469104798,10,7.271942271,8.9,3.715422095,5.088376618,8,7.927854911,10,8.375940036,3.426311667,9.393939394,9.92861381,9.66,9.06859193,8.778183415,65.794937,84.305344,80.742584,1099710.63,58906.65291
AUS_2012,Australia,2012,6.998490546,4.411764706,6.785688023,10,5.5,6,5,8.12726505,8.304610078,7.780905822,7.058891147,10,8.464433333,6.831575964,8.271397245,8.306306813,9.596351824,9.346481744,9.150925551,9.888,10,7.734182844,9.201688889,9.246666667,9.46,8.8984,7.627943331,6.345426,8.910460662,10,4.107099155,7.595233321,4.615384615,0.110679529,8.248692415,9.596214768,10,8.788644304,10,6.744523012,8.9,3.082898213,4.556384947,6,7.927854911,10,8.405339465,2.967637613,10,9.912605544,9.66,9.06877291,8.823020721,66.24485,84.437431,80.493423,1113762.5,59540.37267
AUS_2013,Australia,2013,6.87883282,4.588235294,6.798428805,10,5.5,6,5,8.199830724,8.332069301,7.792935764,7.512845989,10,8.499533333,6.831575964,8.205654997,8.424030446,9.407195997,9.189538533,8.929223182,9.510022272,10,7.67142162,8.991955556,9.146666667,9.46,8.3692,7.386234596,5.862008529,8.910460662,10,4.307496329,8.196424842,4.615384615,0.110679529,8.411014718,9.793,10,9.379,10,7.024254597,8.9,2.845111855,4.472560815,8,7.927854911,10,8.415789557,3.007172792,10,9.912605544,9.66,9.091938285,8.823020721,60.332756,83.484528,77.702675,1173420.13,56272.67464
